iter	Passed	Remaining
1532	247401	317441
1533	247533	317243
1534	247685	317069
1535	247818	316872
1536	247937	316656
1537	248121	316523
1538	248300	316384
1539	248501	316275
1540	248689	316146
1541	248842	315975
1542	249040	315860
1543	249201	315698
1544	249420	315610
1545	249595	315465
1546	249779	315333
1547	249952	315185
1548	250161	315084
1549	250331	314933
1550	250513	314797
1551	250660	314617
1552	250831	314468
1553	250997	314312
1554	251166	314159
1555	251302	313966
1556	251478	313823
1557	251640	313661
1558	251817	313520
1559	251962	313337
1560	252105	313153
1561	252405	313163
1562	252653	313109
1563	252841	312979
1564	253024	312844
1565	253151	312640
1566	253342	312515
1567	253526	312380
1568	253712	312249
1569	253918	312141
1570	254124	312034
1571	254323	311918
1572	254505	311781
1573	254661	311611
1574	254824	311452
1575	254977	311280
1576	255146	311126
1577	255322	310982
1578	255472	310806
1579	255609	310614
1580	255768	310448
1581	255955	310317
1582	256097	310132
1583	256266	309979
1584	256430	309819
1585	256532	309585
1586	256701	309432
1587	256879	309290
1588	257030	309115
1589	257201	308964
1590	257374	308816
1591	257533	308651
1592	257716	308515
1593	257858	308330
1594	258006	308151
1595	258176	307999
1596	258358	307862
1597	258511	307690
1598	258683	307540
1599	258853	307389
1600	259035	307250
1601	259229	307126
1602	259378	306949
1603	259548	306797
1604	259693	306616
1605	259863	306464
1606	260058	306341
1607	260221	306181
1608	260385	306021
1609	260537	305848
1610	260684	305668
1611	260853	305516
1612	261044	305387
1613	261210	305230
1614	261402	305104
1615	261546	304921
1616	261805	304873
1617	262008	304759
1618	262182	304611
1619	262336	304439
1620	262494	304273
1621	262651	304105
1622	262828	303960
1623	262966	303772
1624	263129	303610
1625	263326	303489
1626	263456	303290
1627	263609	303118
1628	263758	302941
1629	263902	302759
1630	264063	302595
1631	264214	302421
1632	264326	302202
1633	264479	302031
1634	264635	301862
1635	264758	301656
1636	264897	301468
1637	265036	301281
1638	265178	301096
1639	265339	300933
1640	265523	300797
1641	265683	300632
1642	265820	300443
1643	265970	300268
1644	266094	300064
1645	266238	299882
1646	266406	299727
1647	266546	299541
1648	266710	299382
1649	266859	299206
1650	266995	299015
1651	267160	298856
1652	267300	298671
1653	267451	298498
1654	267627	298351
1655	267776	298175
1656	267934	298010
1657	268117	297872
1658	268305	297739
1659	268483	297595
1660	268602	297386
